Number,State,Value,Param batch_size,Param entropy_beta,Param gamma,Param learning_rate
0,COMPLETE,-382.9341198365424,20,0.026249914496695247,0.9559678128564952,0.005405617549716534
1,COMPLETE,-46.805087609282054,23,0.45086474741970445,0.956723491026058,7.94166469420973e-05
2,COMPLETE,-164.7941003077375,40,0.36782944085468366,0.912863973030884,1.918818365406434e-05
3,COMPLETE,-140.29992142847505,27,0.07975681138175655,0.9715062266955856,1.1488511954908638e-05
4,COMPLETE,-1.8371017896456885,41,0.4001348993974826,0.9498639596806357,0.0015304269364708471
5,COMPLETE,-558.9360026528108,53,0.04372203641731323,0.9369987920296754,0.003477896212554941
6,COMPLETE,-43.10824293726939,53,0.3342593406280108,0.9252738769421188,0.001457682131123881
7,COMPLETE,16.9360360487415,11,0.3264237610730009,0.9443144242983632,0.0001006604652139386
8,COMPLETE,-590.6634749287717,13,0.28364402368425323,0.973498418358539,0.005185814106793827
9,COMPLETE,-144.9604588685623,8,0.48318146283304886,0.9488967455080568,1.5314750468319676e-05
10,COMPLETE,-41.27987358375341,62,0.17229657170290755,0.9928841248125964,0.00011964562773230639
11,COMPLETE,4.349893875612745,37,0.3921294651473105,0.9354911179834112,0.0005991053542834804
12,COMPLETE,-54.974457486897435,32,0.24199759561196527,0.9090379407907913,0.00037691543842010596
13,COMPLETE,-87.9975149853009,47,0.26157007787114805,0.9300602005199028,0.00031233320924849996
14,COMPLETE,-81.87973165251178,34,0.4092323478690115,0.9001929009166164,7.57174589081674e-05
15,COMPLETE,-45.400274336605825,17,0.32173281296039746,0.9361292840018025,0.0003315013018866926
16,COMPLETE,-86.08014818519494,27,0.1745075987832424,0.9218151957435524,0.0008891294893866905
17,COMPLETE,-150.59485419892653,44,0.49638402110601326,0.941180040788239,3.8751057855241365e-05
18,COMPLETE,-81.72547072088963,9,0.19829789935788564,0.975143001607788,0.00012574301196650737
19,COMPLETE,-50.2768546706115,30,0.42739965893480897,0.9679191455183525,0.0007328790824214013
