Number,State,Value,Param batch_size,Param entropy_beta,Param gamma,Param learning_rate,Param reward_steps
0,COMPLETE,-74.52224385329242,29,0.27224776984296095,0.7820780698272294,0.007811631072165056,11
1,COMPLETE,-149.54420631702402,49,0.6355715656589026,0.8085722669576038,1.5157139567322696e-05,3
2,COMPLETE,-101.24727060578904,10,0.1417289458718382,0.70962798484644,3.16020879439085e-05,25
3,COMPLETE,81.95012770112712,56,0.11805857802835094,0.9955915464139815,0.00012114398349021107,26
4,COMPLETE,-5.87276122433132,49,0.5459520855451022,0.8508175485233238,0.0010600163199753721,29
5,COMPLETE,-119.6769326356845,32,0.4090385047024652,0.7197721371544228,0.0003753350260814242,43
6,COMPLETE,-78.1816309863026,18,0.8888094609029282,0.9209339144695039,1.2666323598822079e-05,25
7,COMPLETE,-85.81642091802088,42,0.45902607696939235,0.7967243817839971,9.413340172555751e-05,10
8,COMPLETE,-48.91988905007419,41,0.24335013573832306,0.83686245609643,0.00037843916379243973,41
9,COMPLETE,28.081018032702055,19,0.5244255132585021,0.9838085810076989,0.0005729760820159084,45
10,COMPLETE,83.42666667568756,64,0.031531337495250694,0.9938657489336196,9.833602129456292e-05,34
11,COMPLETE,38.633579665668435,64,0.04118869881157124,0.9964647706115229,8.313897299198028e-05,33
12,COMPLETE,-122.33587200153191,64,0.031490153969256696,0.9228104100256095,9.153524652558559e-05,18
13,COMPLETE,-29.837040980782962,56,0.20422468155832652,0.9333438846906692,0.0015994500812785974,35
14,COMPLETE,-10.80612481427715,54,0.33543846809857364,0.9549305743895443,0.00013502277419134994,18
15,COMPLETE,-28.649205941998993,57,0.1129880401011776,0.8822258232903056,3.5682383654142026e-05,50
16,COMPLETE,-49.1622872933606,63,0.021885068086272084,0.9676496926663261,0.00018903405062421254,37
17,COMPLETE,-44.07202830995038,49,0.793326910815924,0.8835913741470557,3.4032820720517584e-05,19
18,COMPLETE,-534.984176721542,44,0.13846839435161243,0.9544620758511682,0.003989619932086173,29
19,COMPLETE,-68.5509963613067,58,0.29186580823586816,0.8906485835096302,0.0001949859986196349,30
