Number,State,Value,Param batch_size,Param clip_grad,Param entropy_beta,Param eps,Param gamma,Param learning_rate,Param num_envs,Param reward_steps
0,COMPLETE,-66.74520111083984,46,0.20851543889270752,0.4847935797330713,0.001736830440543104,0.9494307326016157,2.4075605858523512e-05,32,2
1,COMPLETE,-758.7413330078125,57,0.9740510785771679,0.3890283994410056,1.3855484452233753e-06,0.9944221416789336,0.00013968666525250085,36,2
2,COMPLETE,-418.07720947265625,109,0.4469148968962366,0.2403133279263842,0.0013923822574442284,0.9525983460124138,0.0022694952516510197,41,2
3,COMPLETE,-781.8363647460938,44,0.6865203678829269,0.3949994215095552,3.3092877093213766e-06,0.977824133908002,1.4575863102536077e-05,32,10
4,COMPLETE,-438.9224853515625,48,0.7711393217688621,0.35347212371211484,5.449719928964814e-08,0.9767805463828512,0.00019159398498975945,45,2
5,COMPLETE,-694.229248046875,72,0.36829261877246916,0.06867182554585632,0.0014881565307149752,0.9546775581081051,0.009493825642393861,30,1
6,COMPLETE,-311.7030029296875,47,0.21312126296952127,0.3259181543190277,6.579804670478843e-05,0.9308255476782341,0.007939453091981935,43,3
7,COMPLETE,-1023.0938110351562,80,0.6997462757979498,0.19203975256734995,1.2509658869933443e-05,0.9158354706683286,7.071220853344024e-05,32,1
8,COMPLETE,-793.1882934570312,15,0.8959772909024882,0.37058816381694576,0.00015168683789182406,0.9316915992631698,0.00012253727682316612,41,5
9,COMPLETE,-697.0875244140625,62,0.0998839173131566,0.4992084059735997,0.002016854201874563,0.9896261651187843,0.005660125862511427,43,7
10,COMPLETE,-98.49983215332031,11,0.201885610481346,0.49708313912557267,2.8053916491190595e-08,0.9007886801018365,1.0519235734231073e-05,49,5
11,COMPLETE,-626.4156494140625,8,0.04161376845351708,0.49676078983424715,1.6761777347763395e-08,0.900575335534242,1.3341017603292833e-05,50,5
12,COMPLETE,-430.5887756347656,26,0.26902126265074505,0.4478328962126655,1.9839076938356013e-07,0.9016386321422069,4.542302654093286e-05,49,7
13,COMPLETE,-180.63348388671875,30,0.22824176654826622,0.010612647986805224,0.007658189879797265,0.9374102730253357,0.0006564479192833437,37,4
14,COMPLETE,-685.109619140625,93,0.5675150086142359,0.44170507659262415,5.274901975405693e-07,0.9673946354347914,3.272579111057804e-05,36,7
15,COMPLETE,-280.387451171875,32,0.3577514285630443,0.3000257348616928,6.873613835994014e-05,0.9146282129796414,1.0886148316293465e-05,47,9
16,COMPLETE,-623.1500854492188,127,0.14451808157630708,0.15697210430533282,8.473844368646291e-06,0.9424851595767194,0.000491931595980661,37,4
17,COMPLETE,-224.7734375,20,0.5258211940844741,0.4451170572782474,0.00021967631119093213,0.9203440116856487,3.332207471682184e-05,39,6
18,COMPLETE,-477.988525390625,38,0.02465989968878818,0.2831080959014332,1.607113641708595e-08,0.9622058683628941,2.2497156580825713e-05,34,4
19,COMPLETE,-525.663818359375,79,0.3226670855366005,0.4231240252338139,1.359348487413595e-07,0.9225262549053302,6.8937597374533e-05,47,8
20,COMPLETE,-782.0514526367188,8,0.4479585697607118,0.49476557083926875,0.00932434909602632,0.9464544198702429,0.0012138114190439308,30,3
21,COMPLETE,-152.57394409179688,29,0.18614298967400292,0.013089144190629074,0.00989371308950571,0.9402272799446837,0.0005489622895590744,38,4
22,COMPLETE,-108.2114028930664,23,0.1458602241698057,0.1244724052976684,0.0006555306223153249,0.9323535471727903,0.0003049205800032028,39,3
23,COMPLETE,-66.74700164794922,22,0.13094250391914766,0.12344325494492987,0.00046482084079828545,0.9107373304244382,0.00024312906194417228,43,3
24,COMPLETE,-484.67486572265625,39,0.08173320321580746,0.22155235120468256,2.357885758646192e-05,0.9081330393141516,2.0824084208060723e-05,44,6
25,COMPLETE,-174.05519104003906,54,0.28682334954393995,0.1093223647896707,0.0002734495564747214,0.9094767476849813,6.209898228789115e-05,46,3
26,COMPLETE,-800.0464477539062,18,0.39326151281991695,0.17653346205756262,0.002829014714013332,0.924373611114238,0.00308332437941285,48,1
27,COMPLETE,-151.06851196289062,35,0.014705558869830826,0.09584400892357951,0.0005851030876649622,0.9073118215833096,1.030677227938089e-05,42,5
28,COMPLETE,-105.92096710205078,14,0.14203270280651803,0.2739606467638779,3.8259508988699726e-05,0.9145172080559132,1.9967170016288615e-05,50,2
29,COMPLETE,-441.0346984863281,50,0.2458086149449109,0.40542237898402783,1.6227578812122713e-06,0.9963877456251562,0.00012518464814623221,34,2
